CICALineCode,CICAStationCode,CICACompanyName,CICALineName,CICAStationName,CICANote
0,518,奈良交通,,兜台二丁目,
0,519,奈良交通,,山田川駅,
0,520,奈良交通,,ハイタッチ・リサーチパーク,
0,535,奈良交通,,井平尾,
0,536,奈良交通,,平岡,
0,537,奈良交通,,岡崎（加茂）,
0,538,奈良交通,,恭仁大橋,
0,539,奈良交通,,中森,
0,540,奈良交通,,東大野,
0,541,奈良交通,,加茂大野,
0,542,奈良交通,,法花寺野,
0,543,奈良交通,,鹿背山,
0,544,奈良交通,,白口,
0,545,奈良交通,,宮之堀,
0,546,奈良交通,,木津駅,
0,547,奈良交通,,木津町役場前,
0,548,奈良交通,,木津本町,
0,549,奈良交通,,神田（木津町）,
0,550,奈良交通,,南後背,
0,551,奈良交通,,木津中学校前,
0,552,奈良交通,,清水橋,
0,556,奈良交通,,精華台二丁目,
0,557,奈良交通,,精華台一丁目,
0,558,奈良交通,,高山サイエンスタウン,
0,559,奈良交通,,サイエンスプラザ,
0,560,奈良交通,,大学院大学,
0,561,奈良交通,,国道鹿畑,
0,562,奈良交通,,鹿畑口,
0,563,奈良交通,,平城中山北口,
0,564,奈良交通,,柘榴,
0,565,奈良交通,,乾谷,
0,569,奈良交通,,南陽高校,
0,570,奈良交通,,平城山駅,
0,571,奈良交通,,木津川台住宅,
0,572,奈良交通,,木津川台七丁目,
0,573,奈良交通,,木津川台六丁目,
0,574,奈良交通,,木津川台二丁目,
0,575,奈良交通,,木津川台中央公園,
0,576,奈良交通,,木津川台一丁目,
0,577,奈良交通,,兜台四丁目,
0,578,奈良交通,,押熊,
0,579,奈良交通,,南押熊,
0,580,奈良交通,,平城中山,
0,581,奈良交通,,平城中山南口,
0,582,奈良交通,,奈良工業高校前,
0,583,奈良交通,,北秋篠,
0,584,奈良交通,,秋篠寺,
0,585,奈良交通,,秋篠三和町,
0,586,奈良交通,,西大寺,
0,587,奈良交通,,歌姫町,
0,588,奈良交通,,佐紀県営住宅前,
0,589,奈良交通,,佐紀中町,
0,590,奈良交通,,佐紀駐在所前,
0,591,奈良交通,,西小,
0,592,奈良交通,,浄瑠璃寺前,
0,604,奈良交通,,祝園駅,
0,605,奈良交通,,光台三丁目,
0,606,奈良交通,,けいはんなプラザ,
0,607,奈良交通,,ATR,
0,608,奈良交通,,光台一丁目,
0,610,奈良交通,,光台一丁目南,
0,611,奈良交通,,光台四丁目,
0,612,奈良交通,,光台七丁目,
0,613,奈良交通,,光台八丁目,
0,615,奈良交通,,京田辺駅,
0,616,奈良交通,,新田辺駅,
0,617,奈良交通,,菅井,
0,618,奈良交通,,吐師,
0,619,奈良交通,,木津北の庄,
0,620,奈良交通,,一条高校,
0,621,奈良交通,,西登美ヶ丘五丁目,
0,622,奈良交通,,西登美ヶ丘一丁目,
0,623,奈良交通,,大渕橋,
0,624,奈良交通,,登美ヶ丘一丁目,
0,625,奈良交通,,鹿ノ台北二丁目,
0,626,奈良交通,,鹿ノ台東二丁目,
0,627,奈良交通,,鹿ノ台東一丁目,
0,628,奈良交通,,樋の平,
0,629,奈良交通,,北大和五丁目,
0,630,奈良交通,,北大和二丁目,
0,631,奈良交通,,近鉄学園前駅,
0,632,奈良交通,,四季の森公園,
0,633,奈良交通,,北大和一丁目,
0,635,奈良交通,,中登美ヶ丘団地,
0,636,奈良交通,,奈良北高校,
0,637,奈良交通,,京田辺駅（東口）,
0,638,奈良交通,,中山町西一丁目,
0,639,奈良交通,,中山町西二丁目,
0,640,奈良交通,,中山町西四丁目,
0,641,奈良交通,,朝日町一丁目,
0,642,奈良交通,,轉輪王教会前,
0,643,奈良交通,,朝日町二丁目東,
0,644,奈良交通,,青葉公園前,
0,645,奈良交通,,大和文華館前,
0,646,奈良交通,,西千代ヶ丘二丁目,
0,647,奈良交通,,千代ヶ丘二丁目,
0,648,奈良交通,,千代ヶ丘一丁目,
0,649,奈良交通,,若草台,
0,650,奈良交通,,若草台中央,
0,651,奈良交通,,丸山橋,
0,652,奈良交通,,藤の木台四丁目,
0,653,奈良交通,,長芝橋,
0,654,奈良交通,,鳥見町二丁目,
0,655,奈良交通,,鳥見町三丁目,
0,656,奈良交通,,ショッピングセンター前,
0,657,奈良交通,,公団管理事務所,
0,658,奈良交通,,富雄団地北町,
0,659,奈良交通,,鳥見小学校前,
0,660,奈良交通,,帝塚山南四丁目,
0,661,奈良交通,,帝塚山南一丁目,
0,662,奈良交通,,富雄高校,
0,663,奈良交通,,帝塚山南二丁目,
0,664,奈良交通,,近畿大学,
0,665,奈良交通,,富雄泉ヶ丘,
0,666,奈良交通,,近大橋,
0,667,奈良交通,,精華町役場（東）,
0,668,奈良交通,,北田原,
0,669,奈良交通,,北田原口,
0,670,奈良交通,,下田原,
0,671,奈良交通,,山口川,
0,672,奈良交通,,出店,
0,673,奈良交通,,岩屋口,
0,674,奈良交通,,お松の宮,
0,675,奈良交通,,新生駒台北口,
0,676,奈良交通,,松美台,
0,677,奈良交通,,北条,
0,678,奈良交通,,俵口阪奈中央病院,
0,679,奈良交通,,新生駒台,
0,680,奈良交通,,生駒台小学校前,
0,681,奈良交通,,生駒台東口,
0,682,奈良交通,,生駒台,
0,683,奈良交通,,上大町,
0,684,奈良交通,,かえで通り中央,
0,685,奈良交通,,白庭台住宅,
0,686,奈良交通,,白谷,
0,687,奈良交通,,稲葉,
0,688,奈良交通,,中菜畑二丁目,
0,689,奈良交通,,新旭ヶ丘南口,
0,690,奈良交通,,緑ヶ丘,
0,691,奈良交通,,新旭ヶ丘,
0,692,奈良交通,,湯船,
0,693,奈良交通,,旭ヶ丘,
0,694,奈良交通,,田原台一丁目,
0,695,奈良交通,,戎公園,
0,696,奈良交通,,田原台小学校,
0,697,奈良交通,,田原台センター,
0,698,奈良交通,,田原台七丁目,
0,699,奈良交通,,北谷公園,
0,700,奈良交通,,池谷,
0,701,奈良交通,,喜里が丘一丁目,
0,702,奈良交通,,喜里が丘南口,
0,703,奈良交通,,田原台八丁目,
0,704,奈良交通,,傍示,
0,705,奈良交通,,高山狭戸,
0,706,奈良交通,,高船口,
0,707,奈良交通,,鐘付田,
0,708,奈良交通,,東庄田,
0,709,奈良交通,,庄田,
0,710,奈良交通,,西庄田,
0,711,奈良交通,,上大北,
0,712,奈良交通,,大北,
0,713,奈良交通,,高山八幡宮前,
0,714,奈良交通,,高山学校前,
0,715,奈良交通,,宮方橋,
0,716,奈良交通,,高山,
0,717,奈良交通,,イモ山,
0,718,奈良交通,,帝塚山住宅,
0,719,奈良交通,,帝塚山五丁目,
0,720,奈良交通,,帝塚山四丁目,
0,721,奈良交通,,社会保険健康センター,
0,722,奈良交通,,あすか野センター,
0,723,奈良交通,,あすか野団地,
0,724,奈良交通,,あすか野団地口,
0,725,奈良交通,,稲倉,
0,726,奈良交通,,小明寺垣内,
0,727,奈良交通,,島田,
0,728,奈良交通,,生駒市図書会館前,
0,729,奈良交通,,生駒辻町,
0,730,奈良交通,,さつき台住宅,
0,731,奈良交通,,さつき台一丁目,
0,732,奈良交通,,東生駒四丁目,
0,733,奈良交通,,東生駒三丁目,
0,734,奈良交通,,東生駒二丁目,
0,735,奈良交通,,けやき通り北,
0,737,奈良交通,,庄西口,
0,738,奈良交通,,けやき通り南,
0,739,奈良交通,,ひかりが丘,
0,740,奈良交通,,ひかりが丘住宅口,
0,741,奈良交通,,宛の木,
0,742,奈良交通,,帝塚山大学,
0,743,奈良交通,,高山芝,
0,744,奈良交通,,西向橋,
0,745,奈良交通,,鵄山,
0,746,奈良交通,,蛇喰,
0,747,奈良交通,,真弓橋,
0,748,奈良交通,,生駒上町,
0,749,奈良交通,,出垣内,
0,750,奈良交通,,杵築橋,
0,751,奈良交通,,春日橋,
0,753,奈良交通,,育英西校,
0,754,奈良交通,,荒新田,
0,755,奈良交通,,木島,
0,756,奈良交通,,旭ヶ丘住宅,
0,757,奈良交通,,泉ヶ丘住宅前,
0,758,奈良交通,,大阪口,
0,759,奈良交通,,北登美ヶ丘一丁目,
0,771,奈良交通,,王寺駅（南）,
0,772,奈良交通,,王寺駅,
0,773,奈良交通,,笠町,
0,774,奈良交通,,三室山下,
0,775,奈良交通,,竜田大橋,
0,776,奈良交通,,斑鳩交番前,
0,777,奈良交通,,竜田神社前,
0,778,奈良交通,,斑鳩町役場前,
0,779,奈良交通,,法隆寺前,
0,780,奈良交通,,法起寺口,
0,781,奈良交通,,幸前口,
0,782,奈良交通,,小泉口,
0,783,奈良交通,,椎木,
0,784,奈良交通,,今国府,
0,785,奈良交通,,松下電器,
0,786,奈良交通,,筒井駅,
0,787,奈良交通,,番条,
0,788,奈良交通,,横田町西口,
0,789,奈良交通,,発志院,
0,790,奈良交通,,東和苑住宅,
0,791,奈良交通,,小泉,
0,792,奈良交通,,慈光院,
0,793,奈良交通,,片桐小学校,
0,794,奈良交通,,片桐池の内,
0,795,奈良交通,,小南町,
0,796,奈良交通,,片桐田中町,
0,797,奈良交通,,南郡山,
0,798,奈良交通,,小川町,
0,799,奈良交通,,山本町,
0,800,奈良交通,,奈良口,
0,801,奈良交通,,七条町,
0,802,奈良交通,,西の京病院,
0,803,奈良交通,,片桐西小学校,
0,804,奈良交通,,王寺町役場前,
0,805,奈良交通,,葛下,
0,806,奈良交通,,薬井口,
0,807,奈良交通,,星和台一丁目,
0,808,奈良交通,,高船,
0,809,奈良交通,,星和台二丁目,
0,810,奈良交通,,片岡台一丁目,
0,811,奈良交通,,片岡台三丁目,
